ID,meanPPT,snowFrac,high_ppt_freq,low_ppt_freq,high_ppt_dur,low_ppt_dur,elevation,slope,areasqkm,soil_depth_pelletier,clay-1m-percent,permeability_permafrost,rockdepm,sand-1m-percent,silt-1m-percent,carbonate_rocks_frac,soil_conductivity,geol_porostiy,max_water_content,aridity,pet_mean,forest,dom_lc,gvf_diff,gvf_max,lai_diff,lai_max
cat-1,5.970599664,0.018388861,20.333333333,219.333333333,1.12962963,3.323232323,480.184950198,11.626623086,15.432583847,1.173072738,20.221883116,-14.100000381,1.122875329,50.96377538,28.521509022,0.03,0.916423686,42.514934221,0.477389707,0.79656077,3.606515081,1,5,0.303464536,0.997363502,4.290143338,5.430870428
cat-100,8.03748964,0.026935934,21,206,1.188679245,3.18556701,877.049149388,40.497681387,13.195122822,1,15.900014238,-14.100000381,0.92000148,31.50005021,32.700000895,0.030363129,0.737226978,45.438692343,0.418036642,0.520779579,3.169757741,1,5,0.318139496,0.999654466,3.918420585,4.613867363
cat-101,7.634962826,0.025176831,20,208,1.153846154,3.216494845,866.664003352,28.041696502,13.271467851,1,16.133564165,-14.100000381,0.943356473,32.296243181,32.726540634,0.03,0.743547858,45.316991594,0.427500773,0.520809544,3.058213903,1,5,0.315134685,0.99921293,3.943753849,4.639204279
cat-103,7.841877509,0.026259762,21,204.666666667,1.166666667,3.164948454,959.295616198,28.191338928,4.957216249,1,18.63124336,-14.100000381,1.193124393,40.811059,33.010367546,0.03,0.814630523,44.015473618,0.525159353,0.504491905,3.016271372,1,4,0.317822759,0.993908873,3.592966716,4.357828677
cat-104,7.538333106,0.026397955,21.333333333,203.666666667,1.163636364,3.117346939,893.06363264,22.686520982,10.206258691,0.942620726,17.885025983,-14.100000381,1.118502655,38.26713601,32.925570197,0.03,0.79270966,44.404320725,0.496663506,0.515156265,2.974885774,1,5,0.302067027,0.995830737,3.597659141,4.365455478
cat-105,7.400390385,0.02747228,21,204.333333333,1.166666667,3.143589744,1019.884524545,19.407788946,16.185228232,0.981672275,18.96584369,-14.100000381,1.246707798,40.427853953,35.199761476,0.044114767,0.808972431,44.057508522,0.549268395,0.515435119,2.893434306,0.883990111,4,0.325630811,0.980397093,3.408411252,4.111177876
cat-106,7.134762774,0.028683965,20.666666667,203,1.169811321,3.060301508,1079.34486353,18.730980373,14.670702261,1,19.509468277,-14.100000381,1.379763275,36.321912124,43.674535227,0.05,0.765516504,44.620438152,0.615656419,0.520308793,2.809830284,0.538922403,4,0.305166049,0.969009452,3.033687572,3.746378864
cat-107,7.333477371,0.028989759,20.666666667,203,1.192307692,3.029850746,1163.28461306,25.178764567,12.130009316,0.84982161,20.283622903,-14.100000381,1.360409413,46.289152756,33.416987511,0.045212538,0.863663666,43.176446261,0.587376439,0.495488387,2.772303405,0.983306877,4,0.349402774,0.983250544,3.71765624,4.398992005
cat-109,7.438767018,0.027900238,20.666666667,205,1.192307692,3.059701493,999.659870318,28.231825168,11.413025642,0.869456813,18.190308292,-14.100000381,1.149030886,39.3078712,32.960261336,0.047171941,0.801605413,44.245240883,0.508391484,0.510242393,2.881604877,0.953722084,4,0.329512497,0.987482339,3.391931368,4.159593176
cat-11,7.033963649,0.025717833,20,209.666666667,1.224489796,3.259067358,643.938478259,25.942042729,14.292800822,1,18.028826046,-14.100000381,1.030698957,49.807901975,28.868113353,0.03,0.915939539,42.760211356,0.440729053,0.626585747,3.349873544,1,5,0.299767045,0.999062709,4.189877283,4.95779623
cat-113,7.475067294,0.027705887,20.666666667,203,1.215686275,3.060301508,1069.430975636,36.543532587,7.444993827,0.861720119,18.606963866,-14.100000381,1.197509387,40.212362449,33.735973941,0.048067232,0.808634059,44.101386869,0.528118247,0.503174214,2.861347461,0.917983397,4,0.306437944,0.986317857,3.403698016,4.145662975
